year,Date,S&P 100,S&P 500,S&P 600,Dow Jones,Nasdaq,Russell 2000,Barron's 400,Wilshire 5000
127,12-Jun-2015,1.0017175779976084,1.0006116120277329,1.0053038276186783,1.0027664702461587,0.9965748965168908,1.0031799906424215,1.0031462939785845,1.0006470217913443
128,19-Jun-2015,1.0066740460997525,1.0075831737587804,1.014326055513465,1.0065428821085614,1.0130466631030863,1.0155254462380041,1.0084735483200193,1.0077325865148028
129,26-Jun-2015,0.9971648178691935,0.9959715448888383,0.9974061248047804,0.9961550736985837,0.9928688684776237,0.996216897856242,0.9951716553833464,0.9955185396650511
130,2-Jul-2015,0.9878594594594594,0.9882416761440694,0.9770028865530198,0.9879325869743039,0.9859659758567545,0.975355524300672,0.9801957974342596,0.9872857578041077
131,10-Jul-2015,1.0005800146645216,0.9999229576556014,1.0023273639467634,1.0017089572484321,0.9977022324877575,1.003012192972618,0.9976572133168926,1.0000361910329758
132,17-Jul-2015,1.0316854424149624,1.0240872186533887,1.0057423319707461,1.0183576843102158,1.0425075534745984,1.0120365489369179,1.0083867436481453,1.0221170245737499
133,24-Jul-2015,0.9766132708556405,0.9779041116503029,0.9700974631920923,0.9713641980598734,0.9766781698764332,0.9675634722079727,0.9731930242330857,0.9772612242433761
134,31-Jul-2015,1.010768445848395,1.01163176496045,1.0155617625263638,1.0069060985751228,1.0077918811153492,1.010350818522174,1.0147892265342473,1.011995072656028
135,7-Aug-2015,0.9840945947397249,0.9875133089968819,0.9839610462505614,0.9821095248916611,0.9834759412512578,0.9743436561500953,0.9838838359661721,0.9872075560377984
136,14-Aug-2015,1.0048345556137592,1.0067242018319478,1.0081145448581736,1.0059873208322156,1.0009318851441646,1.004797414864529,1.0065052077702092,1.00671180568309
137,21-Aug-2015,0.9392017377138202,0.9423152318387409,0.9575753289008346,0.9417733759025941,0.9322139993344215,0.953904130486769,0.9419210455644079,0.943782146639246
138,28-Aug-2015,1.012500433641315,1.0091227820933688,0.9969419863792824,1.0111338264554441,1.0259836295484102,1.0052905021654752,1.0144456482484652,1.0083731905227482
139,4-Sep-2015,0.9803444573882455,0.9659857104788147,0.9790172485329854,0.9675160923414695,0.9700931172747458,0.9770059591885872,0.9737310524442113,0.9679199400967748
140,11-Sep-2015,1.005405594324126,1.020731618450776,1.0146667070291215,1.0205379577428928,1.029552169977284,1.0190288425147644,1.0154707614154592,1.0202692234994244
141,18-Sep-2015,0.99809967439543,0.9984600086688253,1.0014469621253934,0.9970480293115903,1.0010140305328947,1.0048022525673912,0.9980671934511967,0.9990923739262174
142,25-Sep-2015,0.9890058859723464,0.9863689524675311,0.9873834420710816,0.9957331832735412,0.9708466346123968,0.9651351699832381,0.9749387708606253,0.9846458567372901
143,2-Oct-2015,1.0121727902335955,1.0103658599728687,0.9876295502888952,1.0096661470933828,1.00454070201643,0.9922781642159263,0.9975657728184456,1.007425889710602
144,9-Oct-2015,1.0331450705695433,1.0325567809117744,1.0505445491621734,1.0371604086115114,1.0260611158550315,1.0459914551394822,1.0402139538515598,1.0339521246977237
145,16-Oct-2015,1.0116630184655104,1.0090426772677417,0.9973246481330696,1.007695869177248,1.0116386190163689,0.9973827830026774,0.997185001688999,1.0070331925831613
146,23-Oct-2015,1.0271625760063912,1.0206776809911908,1.0070416375087474,1.0250192118132175,1.0297072251360329,1.003226333766379,1.0108024691358024,1.018521172939363
147,30-Oct-2015,1.0011018450503393,1.0020287690046503,0.9979876945349259,1.0009542860704834,1.0043502800157398,0.9963981270260535,0.9985291379631352,1.0015167284298683
148,6-Nov-2015,1.011686125558409,1.0095413973530316,1.027605315074852,1.01397171801349,1.0184753895622063,1.0326115022463982,1.02224459734109,1.009607582987949
